Perioden;Ziekteverzuimpercentage_1;LO_ratio;MO_ratio;HO_ratio;Weetniet_ratio;Jobs_healthcare_ratio;Jobs_trade_ratio;Jobs_rental_ratio;Jobs_industry_ratio;Jobs_edu_ratio;Jobs_gov_ratio;Jobs_specialbusiness_ratio;Jobs_construction_ratio;SizeUnder100_ratio;Size100to500_ratio;SizeAbove500_ratio
1-1-1996;5,5;;;;;;;;;;;;;;;
1-4-1996;4,6;;;;;;;;;;;;;;;
1-7-1996;4;;;;;;;;;;;;;;;
1-10-1996;4,7;;;;;;;;;;;;;;;
1-1-1997;4,9;;;;;;;;;;;;;;;
1-4-1997;4,5;;;;;;;;;;;;;;;
1-7-1997;4,1;;;;;;;;;;;;;;;
1-10-1997;4,9;;;;;;;;;;;;;;;
1-1-1998;5,2;;;;;;;;;;;;;;;
1-4-1998;4,9;;;;;;;;;;;;;;;
1-7-1998;4,5;;;;;;;;;;;;;;;
1-10-1998;5,3;;;;;;;;;;;;;;;
1-1-1999;5,9;;;;;;;;;;;;;;;
1-4-1999;5,1;;;;;;;;;;;;;;;
1-7-1999;4,9;;;;;;;;;;;;;;;
1-10-1999;5,6;;;;;;;;;;;;;;;
1-1-2000;5,9;;;;;;;;;;;;;;;
1-4-2000;5,3;;;;;;;;;;;;;;;
1-7-2000;5,2;;;;;;;;;;;;;;;
1-10-2000;5,7;;;;;;;;;;;;;;;
1-1-2001;5,8;;;;;;;;;;;;;;;
1-4-2001;5,4;;;;;;;;;;;;;;;
1-7-2001;5,1;;;;;;;;;;;;;;;
1-10-2001;5,5;;;;;;;;;;;;;;;
1-1-2002;5,9;;;;;;;;;;;;;;;
1-4-2002;5,4;;;;;;;;;;;;;;;
1-7-2002;4,9;;;;;;;;;;;;;;;
1-10-2002;5,4;;;;;;;;;;;;;;;
1-1-2003;5,3;;;;;;;;;;;;;;;
1-4-2003;4,6;;;;;;;;;;;;;;;
1-7-2003;4,1;;;;;;;;;;;;;;;
1-10-2003;4,8;;;;;;;;;;;;;;;
1-1-2004;4,7;;;;;;;;;;;;;;;
1-4-2004;4;;;;;;;;;;;;;;;
1-7-2004;3,7;;;;;;;;;;;;;;;
1-10-2004;4,3;;;;;;;;;;;;;;;
1-1-2005;4,6;;;;;;;;;;;;;;;
1-4-2005;3,9;;;;;;;;;;;;;;;
1-7-2005;3,6;;;;;;;;;;;;;;;
1-10-2005;4,2;;;;;;;;;;;;;;;
1-1-2006;4,6;;;;;15,2;16,3;10,9;10,7;6,5;6,4;6,2;5,1;;;
1-4-2006;4;;;;;15,2;16,3;11;10,7;6,5;6,4;6,2;5,1;;;
1-7-2006;3,7;;;;;15,2;16,2;11,1;10,6;6,5;6,4;6,2;5,1;;;
1-10-2006;4,3;;;;;15,2;16,2;11,4;10,5;6,5;6,3;6,2;5,1;;;
1-1-2007;4,6;;;;;15,2;16,3;11,6;10,5;6,5;6,4;6,3;5;99,2;0,6;0,2
1-4-2007;4;;;;;15,1;16,3;11,7;10,4;6,5;6,4;6,3;5;99,2;0,6;0,2
1-7-2007;3,7;;;;;15,2;16,3;11,7;10,4;6,5;6,4;6,4;5;99,2;0,6;0,1
