jaar;nr;specialisme;diagnose;aantal_patienten
2012;1;0301;554;179578
2012;2;0310;14;142801
2012;3;0320;201;139279
2012;4;0302;16;130527
2012;5;0302;13;127276
2012;6;0303;270;124514
2012;7;0320;202;120876
2012;8;0320;401;119197
2012;9;0303;280;110433
2012;10;0310;17;108561
2012;11;0305;1801;107180
2012;12;0307;V51;106907
2012;13;0302;12;100644
2012;14;0301;751;96737
2012;15;0301;901;95360
2012;16;0322;1241;94805
2012;17;0307;G11;94461
2012;18;0307;V41;92752
2012;19;0320;802;92421
2012;20;0301;155;90474
2012;21;0313;222;88950
2012;22;0303;318;88060
2012;23;0301;904;84644
2012;24;0316;9902;82357
2012;25;0310;15;82278
2012;26;0320;302;80562
2012;27;1900;11;80128
2012;28;0313;021;79837
2012;29;0306;41;77780
2012;30;0303;317;75751
2012;31;0305;1805;75072
2012;32;0322;1201;74669
2012;33;0302;36;71534
2012;34;0310;27;71187
2012;35;0320;501;69106
2012;36;0301;103;62924
2012;37;0306;40;61911
2012;38;0303;129;61760
2012;39;0307;G18;61453
2012;40;0302;52;60762
2012;41;0324;101;59140
2012;42;0307;G19;58940
2012;43;0310;24;58691
2012;44;0320;101;58130
2012;45;0310;08;56248
2012;46;0305;2150;55812
2012;47;0330;1203;55027
2012;48;0307;G25;53924
2012;49;0303;423;53893
2012;50;0301;404;53791
2012;51;0320;902;52091
2012;52;0303;299;52042
2012;53;0320;404;51959
2012;54;0305;1701;50954
2012;55;0303;170;49817
2012;56;0301;607;49315
2012;57;0305;1450;49167
2012;58;0310;03;48533
2012;59;0301;754;48331
2012;60;0310;01;47288
2012;61;0313;811;46208
2012;62;0303;179;46097
2012;63;0313;311;45810
2012;64;0307;G28;45474
2012;65;0310;20;45075
2012;66;0330;0801;44915
2012;67;0313;006;44892
2012;68;0318;205;44838
2012;69;0302;53;42884
2012;70;0307;G23;40732
2012;71;0301;557;40294
2012;72;0307;V11;39272
2012;73;0320;914;39113
2012;74;0320;402;38964
2012;75;0302;14;38954
2012;76;0320;801;38952
2012;77;0302;31;38677
2012;78;0313;221;38602
2012;79;0302;55;38418
2012;80;0313;324;38297
2012;81;0330;1402;37239
2012;82;0303;212;37058
2012;83;0307;F11;36854
2012;84;0303;253;36588
2012;85;0320;803;36491
2012;86;0318;606;36478
2012;87;0330;1111;36139
2012;88;0310;05;35941
2012;89;0310;04;35883
2012;90;0303;418;35824
2012;91;0310;26;35194
2012;92;0303;121;35045
2012;93;0306;30;34620
2012;94;0322;1401;34401
2012;95;0322;1902;34263
2012;96;0307;V21;33740
2012;97;0313;233;32461
2012;98;0316;3202;32397
2012;99;0361;105;32378
2012;100;0303;117;32129
2013;1;0301;554;187836
2013;2;0310;14;161696
2013;3;0320;201;149289
2013;4;0320;401;129939
2013;5;0302;13;125117
2013;6;0302;16;122354
2013;7;0310;17;118462
2013;8;0320;202;115663
2013;9;0305;1801;108848
2013;10;0307;V51;108714
2013;11;0303;270;106094
2013;12;0307;V41;101616
2013;13;0320;802;100182
2013;14;0301;901;99323
2013;15;0307;G11;98971
2013;16;0322;1241;97555
2013;17;0303;318;94649
2013;18;0303;280;90479
2013;19;0302;12;89231
2013;20;0313;222;87936
2013;21;0301;155;86577
2013;22;0310;15;86393
2013;23;0301;904;85422
2013;24;1900;11;84034
2013;25;0306;41;83433
2013;26;0316;9902;82715
2013;27;0301;751;82678
2013;28;0320;302;81734
2013;29;0303;317;79701
2013;30;0305;1805;78903
2013;31;0322;1201;76169
2013;32;0313;021;75341
2013;33;0320;501;70436
2013;34;0302;36;68646
2013;35;0306;40;66679
2013;36;0307;G18;64761
2013;37;0324;101;63431
2013;38;0310;27;62784
2013;39;0302;52;60945
2013;40;0301;103;60677
2013;41;0320;101;60654
2013;42;0307;G19;60222
2013;43;0310;08;57759
2013;44;0303;129;57564
2013;45;0310;24;56640
2013;46;0330;1203;56497
2013;47;0307;G25;56373
2013;48;0305;1701;55928
2013;49;0320;404;54325
2013;50;0301;404;52121
2013;51;0301;607;52033
2013;52;0303;423;51823
2013;53;0310;01;50957
2013;54;0313;811;50764
2013;55;0305;1450;48512
2013;56;0310;20;48427
2013;57;0301;754;47300
2013;58;0303;170;46458
2013;59;0303;299;46356
2013;60;0318;205;46325
2013;61;0320;902;46149
2013;62;0313;311;45991
2013;63;0330;0801;44629
2013;64;0313;006;44561
2013;65;0301;557;43978
2013;66;0305;2150;43178
2013;67;0307;G23;42547
2013;68;0310;03;42272
2013;69;0320;803;41260
2013;70;0318;606;41248
2013;71;0313;324;40549
2013;72;0302;31;40496
2013;73;0330;1402;40392
2013;74;0313;221;39646
2013;75;0302;14;39639
2013;76;0322;1902;39552
2013;77;0302;55;39519
2013;78;0320;402;39448
2013;79;0303;179;39200
2013;80;0307;F11;38989
2013;81;0330;1111;37976
2013;82;0302;53;37860
2013;83;0306;30;37790
2013;84;0320;801;37106
2013;85;0322;1401;36985
2013;86;0303;418;36897
2013;87;0303;121;36891
2013;88;0310;04;36879
2013;89;0310;05;36791
2013;90;0320;914;36136
2013;91;0361;105;35544
2013;92;0303;212;35543
2013;93;0307;V11;34847
2013;94;0303;117;34464
2013;95;0310;26;34367
2013;96;0301;101;33679
2013;97;0310;13;33469
2013;98;0301;707;33448
2013;99;0307;V21;32629
2013;100;0303;323;32520
2014;1;0301;554;185157
2014;2;0310;14;169300
2014;3;0320;201;160640
2014;4;0320;401;135822
2014;5;0302;16;128201
2014;6;0302;13;119214
2014;7;0305;1801;116992
2014;8;0310;17;116800
2014;9;0307;Z40;112198
2014;10;0320;202;111731
2014;11;0307;B40;111689
2014;12;0303;270;103554
2014;13;0320;802;99275
