	ID	Identifier	Title	ApiUrl	RecordCount	ColumnCount
0	0	84669NED	Banen van werknemers; internationaliseringskenmerken van bedrijven, '10-'18	https://opendata.cbs.nl/ODataApi/OData/84669NED	304128	10
1	1	83583NED	Banen van werknemers; bedrijfsgrootte en economische activiteit (SBI2008) 	https://opendata.cbs.nl/ODataApi/OData/83583NED	8184	4
2	2	83582NED	Banen van werknemers in december; economische activiteit (SBI2008), regio	https://opendata.cbs.nl/ODataApi/OData/83582NED	172480	4
3	3	83628NED	Banen van werknemers naar woon- en werkregio	https://opendata.cbs.nl/ODataApi/OData/83628NED	1586032	5
4	4	83658NED	Banen van werknemers; geslacht, leeftijd, woon- en werkregio's	https://opendata.cbs.nl/ODataApi/OData/83658NED	1270500	7
5	5	84826NED	Ontslagen werknemers door faillissement; geslacht, leeftijd, bedrijfstak	https://opendata.cbs.nl/ODataApi/OData/84826NED	2232	5
6	6	83257NED	Instromers flexibele schil; baan- en bedrijfskenmerken, 2007-2017	https://opendata.cbs.nl/ODataApi/OData/83257NED	38148	7
7	7	83255NED	Instromers flexibele schil; persoonskenmerken, 2007-2017	https://opendata.cbs.nl/ODataApi/OData/83255NED	43758	8
8	8	83256NED	Instromers flexibele schil; woonregio, 2007-2017	https://opendata.cbs.nl/ODataApi/OData/83256NED	74052	7
9	9	83599NED	Openstaande vacatures; SBI 2008, regio	https://opendata.cbs.nl/ODataApi/OData/83599NED	18768	4
10	10	85081NED	Ontstane vacatures; beroepenindeling ROA-CBS 2014 (BRC 2014), SBI 2008	https://opendata.cbs.nl/ODataApi/OData/85081NED	7752	4
11	11	80472ned	Vacatures; SBI 2008; naar economische activiteit en bedrijfsgrootte	https://opendata.cbs.nl/ODataApi/OData/80472ned	7366	5
12	12	80473ned	Vacatures;SBI2008;particuliere bedrijven	https://opendata.cbs.nl/ODataApi/OData/80473ned	2540	5
13	13	80474ned	Vacatures; seizoengecorrigeerd, SBI2008	https://opendata.cbs.nl/ODataApi/OData/80474ned	2346	3
14	14	84545NED	Vacatures; stroomcijfers, seizoengecorrigeerd	https://opendata.cbs.nl/ODataApi/OData/84545NED	102	4
